Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
48.5	83.994	2.19506666666667E-05
48.6	84.094	2.27423333333333E-05
48.7	84.194	2.37426666666667E-05
48.8	84.294	2.36913333333333E-05
48.9	84.394	2.34146666666667E-05
49.0	84.494	2.3963E-05
49.1	84.594	2.4573E-05
49.2	84.694	2.44933333333333E-05
49.3	84.794	2.4381E-05
49.4	84.894	2.59196666666667E-05
49.5	84.994	2.6563E-05
49.6	85.094	2.60143333333333E-05
49.7	85.194	2.61973333333333E-05
49.8	85.294	2.67473333333333E-05
49.9	85.394	2.68436666666667E-05
50.0	85.494	2.70296666666667E-05
50.1	85.594	2.75666666666667E-05
50.2	85.694	2.75826666666667E-05
50.3	85.794	2.81036666666667E-05
50.4	85.894	2.846E-05
50.5	85.994	2.8866E-05
50.6	86.094	2.9027E-05
50.7	86.194	2.91263333333333E-05
50.8	86.294	2.9863E-05
50.9	86.394	2.98153333333333E-05
51.0	86.494	3.03396666666667E-05
51.1	86.594	3.0599E-05
51.2	86.694	3.15993333333333E-05
51.3	86.794	3.24863333333333E-05
51.4	86.894	3.23033333333333E-05
51.5	86.994	3.24253333333333E-05
51.6	87.094	3.9793E-05
51.7	87.194	3.9915E-05
51.8	87.294	4.03386666666667E-05
51.9	87.394	4.08333333333333E-05
52.0	87.494	3.99593333333333E-05
52.1	87.594	4.1138E-05
52.2	87.694	4.1345E-05
52.3	87.794	4.295E-05
52.4	87.894	4.3411E-05
52.5	87.994	4.28146666666667E-05
52.6	88.094	4.36043333333333E-05
52.7	88.194	4.3814E-05
52.8	88.294	4.47016666666667E-05
52.9	88.394	4.5193E-05
53.0	88.494	4.52776666666667E-05
53.1	88.594	4.62536666666667E-05
53.2	88.694	4.67446666666667E-05
53.3	88.794	4.64496666666667E-05
53.4	88.894	4.71376666666667E-05
53.5	88.994	4.85973333333333E-05
53.6	89.094	4.78216666666667E-05
53.7	89.194	4.7981E-05
53.8	89.294	4.916E-05
53.9	89.394	4.86313333333333E-05
54.0	89.494	4.87536666666667E-05
54.1	89.594	4.94173333333333E-05
54.2	89.694	4.98136666666667E-05
54.3	89.794	5.04643333333333E-05
54.4	89.894	5.10603333333333E-05
54.5	89.994	5.12466666666667E-05
54.6	90.094	5.12126666666667E-05
54.7	90.194	5.2317E-05
54.8	90.294	5.32013333333333E-05
54.9	90.394	5.22593333333333E-05
55.0	90.494	5.3696E-05
55.1	90.594	5.48406666666667E-05
55.2	90.694	5.55763333333333E-05
55.3	90.794	5.5454E-05
55.4	90.894	5.53693333333333E-05
55.5	90.994	5.6623E-05
55.6	91.094	5.66836666666667E-05
55.7	91.194	5.73443333333333E-05
55.8	91.294	5.74966666666667E-05
55.9	91.394	5.80656666666667E-05
56.0	91.494	5.85363333333333E-05
56.1	91.594	5.855E-05
56.2	91.694	5.95326666666667E-05
56.3	91.794	6.00103333333333E-05
56.4	91.894	6.06606666666667E-05
56.5	91.994	6.147E-05
56.6	92.094	6.123E-05
56.7	92.194	6.20293333333333E-05
56.8	92.294	6.17006666666667E-05
56.9	92.394	6.3313E-05
57.0	92.494	6.3408E-05
57.1	92.594	6.42616666666667E-05
57.2	92.694	6.49323333333333E-05
57.3	92.794	6.5173E-05
57.4	92.894	6.55013333333333E-05
57.5	92.994	6.5051E-05
57.6	93.094	6.5698E-05
57.7	93.194	6.68936666666667E-05
57.8	93.294	6.64363333333333E-05
57.9	93.394	6.6958E-05
58.0	93.494	6.69783333333333E-05
58.1	93.594	6.77233333333333E-05
58.2	93.694	6.79E-05
58.3	93.794	6.90416666666667E-05
58.4	93.894	6.9109E-05
58.5	93.994	7.0644E-05
58.6	94.094	6.9421E-05
58.7	94.194	7.03356666666667E-05
58.8	94.294	7.08266666666667E-05
58.9	94.394	7.1826E-05
59.0	94.494	7.16973333333333E-05
59.1	94.594	7.1887E-05
59.2	94.694	7.19986666666667E-05
59.3	94.794	7.30386666666667E-05
59.4	94.894	7.38313333333333E-05
59.5	94.994	7.2785E-05
59.6	95.094	7.3632E-05
59.7	95.194	7.3703E-05
59.8	95.294	7.46346666666667E-05
59.9	95.394	7.4563E-05
60.0	95.494	7.56843333333333E-05
60.1	95.594	7.67313333333333E-05
60.2	95.694	7.5769E-05
60.3	95.794	7.62776666666667E-05
60.4	95.894	7.59316666666667E-05
60.5	95.994	7.6362E-05
60.6	96.094	7.74866666666667E-05
60.7	96.194	7.81643333333333E-05
60.8	96.294	7.82556666666667E-05
60.9	96.394	7.86453333333333E-05
61.0	96.494	7.92446666666667E-05
61.1	96.594	7.9753E-05
61.2	96.694	8.0698E-05
61.3	96.794	8.05763333333333E-05
61.4	96.894	8.09726666666667E-05
61.5	96.994	8.1081E-05
61.6	97.094	8.08776666666667E-05
61.7	97.194	8.16736666666667E-05
61.8	97.294	8.22936666666667E-05
61.9	97.394	8.32356666666667E-05
62.0	97.494	8.40516666666667E-05
62.1	97.594	8.3625E-05
62.2	97.694	8.4936E-05
62.3	97.794	8.4804E-05
62.4	97.894	8.5295E-05
62.5	97.994	8.5915E-05
62.6	98.094	8.64196666666667E-05
62.7	98.194	8.63756666666667E-05
62.8	98.294	8.77306666666667E-05
62.9	98.394	8.78086666666667E-05
63.0	98.494	8.6962E-05
63.1	98.594	8.7839E-05
63.2	98.694	8.8632E-05
63.3	98.794	8.87906666666667E-05
63.4	98.894	8.9123E-05
63.5	98.994	8.9601E-05
63.6	99.094	8.87673333333333E-05
63.7	99.194	8.94383333333333E-05
63.8	99.294	8.95193333333333E-05
63.9	99.394	9.04306666666667E-05
64.0	99.494	9.06233333333333E-05
64.1	99.594	9.06233333333333E-05
64.2	99.694	9.15416666666667E-05
64.3	99.794	9.07626666666667E-05
64.4	99.894	9.13586666666667E-05
64.5	99.994	9.2412E-05
64.6	100.094	9.23853333333333E-05
64.7	100.194	9.24053333333333E-05
64.8	100.294	9.21923333333333E-05
64.9	100.394	9.28356666666667E-05
65.0	100.494	9.34656666666667E-05
65.1	100.594	9.3632E-05
65.2	100.694	9.37846666666667E-05
65.3	100.794	9.43126666666667E-05
65.4	100.894	9.39366666666667E-05
65.5	100.994	9.47666666666667E-05
65.6	101.094	9.52206666666667E-05
65.7	101.194	9.5156E-05
65.8	101.294	9.57693333333333E-05
65.9	101.394	9.6257E-05
66.0	101.494	9.64573333333333E-05
66.1	101.594	9.64233333333333E-05
66.2	101.694	9.68803333333333E-05
66.3	101.794	9.69683333333333E-05
66.4	101.894	9.7504E-05
66.5	101.994	9.76833333333333E-05
66.6	102.094	9.8994E-05
66.7	102.194	9.88726666666667E-05
66.8	102.294	9.9323E-05
66.9	102.394	9.90316666666667E-05
67.0	102.494	9.90656666666667E-05
67.1	102.594	9.955E-05
67.2	102.694	9.9279E-05
67.3	102.794	9.98686666666667E-05
67.4	102.894	0.000100703333333333
67.5	102.994	0.000100926666666667
67.6	103.094	0.000100453333333333
67.7	103.194	0.00010084
67.8	103.294	0.000100376666666667
67.9	103.394	0.000100746666666667
68.0	103.494	0.000101096666666667
68.1	103.594	0.00010139
68.2	103.694	0.000101153333333333
68.3	103.794	0.00010124
68.4	103.894	0.000100903333333333
68.5	103.994	0.00010083
68.6	104.094	0.000101686666666667
68.7	104.194	0.00010178
68.8	104.294	0.000101616666666667
68.9	104.394	0.00010194
69.0	104.494	0.000101506666666667
69.1	104.594	0.000101943333333333
69.2	104.694	0.000101956666666667
69.3	104.794	0.000101946666666667
69.4	104.894	0.000102143333333333
69.5	104.994	0.000102336666666667
69.6	105.094	0.000102356666666667
69.7	105.194	0.000103066666666667
69.8	105.294	0.00010299
69.9	105.394	0.000103303333333333
70.0	105.494	0.00010422
70.1	105.594	0.000103253333333333
70.2	105.694	0.000103646666666667
70.3	105.794	0.000103553333333333
70.4	105.894	0.000103533333333333
70.5	105.994	0.000103763333333333
70.6	106.094	0.000103873333333333
70.7	106.194	0.000104033333333333
70.8	106.294	0.000104056666666667
70.9	106.394	0.000104223333333333
71.0	106.494	0.000104496666666667
71.1	106.594	0.000104686666666667
71.2	106.694	0.000105303333333333
71.3	106.794	0.00010516
71.4	106.894	0.00010582
71.5	106.994	0.000105843333333333
71.6	107.094	0.00010568
71.7	107.194	0.000105136666666667
71.8	107.294	0.000105796666666667
71.9	107.394	0.000105953333333333
72.0	107.494	0.000105913333333333
72.1	107.594	0.000105926666666667
72.2	107.694	0.00010607
72.3	107.794	0.000106086666666667
72.4	107.894	0.000106403333333333
72.5	107.994	0.000106703333333333
72.6	108.094	0.00010618
72.7	108.194	0.000106236666666667
72.8	108.294	0.000106266666666667
