Home offset is 0
angle (deg)	photocurrent
41.2000000000003	7.75E-05
41.3000000000003	7.7707E-05
41.4000000000003	7.79576666666667E-05
41.5000000000003	7.8198E-05
41.6000000000003	7.82726666666667E-05
41.7000000000003	7.81136666666667E-05
41.8000000000003	7.7866E-05
41.9000000000003	7.82796666666667E-05
42.0000000000003	7.85133333333333E-05
42.1000000000003	7.93636666666667E-05
42.2000000000003	7.9892E-05
42.3000000000003	8.01663333333333E-05
42.4000000000003	8.03116666666667E-05
42.5000000000003	8.0508E-05
42.6000000000003	8.0681E-05
42.7000000000003	8.09486666666667E-05
42.8000000000003	8.1189E-05
42.9000000000003	8.1433E-05
43.0000000000003	8.15926666666667E-05
43.1000000000003	8.15753333333333E-05
43.2000000000003	8.12433333333333E-05
43.3000000000003	8.12603333333333E-05
43.4000000000003	8.15656666666667E-05
43.5000000000003	8.2145E-05
43.6000000000004	8.28593333333333E-05
43.7000000000004	8.32863333333333E-05
43.8000000000004	8.3547E-05
43.9000000000004	8.36556666666667E-05
44.0000000000004	8.38143333333333E-05
44.1000000000004	8.39973333333333E-05
44.2000000000004	8.42616666666667E-05
44.3000000000004	8.44753333333333E-05
44.4000000000004	8.47023333333333E-05
44.5000000000004	8.4939E-05
44.6000000000004	8.49326666666667E-05
44.7000000000004	8.46816666666667E-05
44.8000000000004	8.45056666666667E-05
44.9000000000004	8.49223333333333E-05
45.0000000000004	8.519E-05
45.1000000000004	8.6037E-05
45.2000000000004	8.65686666666667E-05
45.3000000000004	8.68433333333333E-05
45.4000000000004	8.70026666666667E-05
45.5000000000004	8.72123333333333E-05
45.6000000000004	8.73923333333333E-05
45.7000000000004	8.75953333333333E-05
45.8000000000004	8.78696666666667E-05
45.9000000000004	8.80966666666667E-05
46.0000000000004	8.83373333333333E-05
46.1000000000004	8.84453333333333E-05
46.2000000000004	8.83743333333333E-05
46.3000000000004	8.79946666666667E-05
